is;ferdatimi_skoli;styrikerfi_simi;aramotaskaupid;ferdamati_skoli;hljodfaeri;morgunmatur;fri;systkini_fjoldi;dyr;tonleikar;feministi;tiktok;staerdfraedi_gaman;tannrettingar;oktoberfest;smjor_kostar;havaxnari;napoleon_faeddur;stefnumot;nemendur_fjoldi;ananas_pizza;rektor_laun;stjornumerki;fjoldi_bila;skemmtilegur;spotify_minutur;utsriftarferd;messi_staerd;kosid;likamsraekt_dagar;fjoldi_tungumala;skemmtileg_konnun;namskeid
Vanilla;20;iOS;0;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;4;Ketti;Gugusar;Rangt;Rangt;10;Rétt;Rangt;2000;Sigrún Helga;1886;Á kaffihús;60;Rétt;1500000;Rangt;4;Villi;18000;Rangt;173;Rétt;4;5;Já;STÆ203
Súkkulaði;20;iOS;7;Með einkabíl;Rétt;Rangt;Skíðaferð til Selva í Ítalíu;0;Ketti;Aron Can;Rétt;Rangt;9;Rangt;Rétt;;Sigrún Helga;1769;Á ísrúnt;241;Rangt;3000000;Rangt;3;Sveppi;40000;Rétt;170;Rétt;3;2;Já;STÆ203
Jarðaberja;15;Android;7;Með einkabíl;Rétt;Rétt;Sólarferð á amerísku ströndina á Tenerife;1;Hunda;Bríet;Rétt;Rangt;9;Rangt;Rangt;750;Sigrún Helga;1750;Á kaffihús;30;Rangt;1100000;Rangt;2;Villi;8397;Rétt;170;Rétt;3;2;Já;STÆ203
Vanilla;20;iOS;1;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rétt;8;Rangt;Rétt;700;Anna Helga;1784;Á ísrúnt;150;Rangt;2800000;Rangt;2;Villi;8000;Rétt;168;Rangt;6;3;Nei;STÆ203
Súkkulaði;60;iOS;6;Með strætó;Rangt;Rangt;Tónleikaferð til Roskilde í Danmörku;1;Hunda;Gugusar;Rétt;Rangt;8;Rangt;Rangt;;Sigrún Helga;1781;Á kaffihús;200;Rangt;6000000;Rangt;3;Sveppi;80565;Rangt;161;Rétt;3;2;Já;STÆ203
Súkkulaði;8;iOS;3;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;3;Hunda;Bríet;Rangt;Rangt;7;Rétt;Rangt;800;Anna Helga;1778;Á ísrúnt;238;Rangt;1300000;Rangt;1;Sveppi;43045;Rétt;170;Rangt;3;2;Nei;STÆ203
Jarðaberja;12;Android;101;Gangandi / skokkandi;Rétt;Rétt;;2;Ketti;;Rétt;Rangt;3,1416;Rangt;Rangt;700;Anna Helga,Sigrún Helga;1870;Á ísrúnt;125;Rangt;1500000;Rangt;3,1;Gói;85600;Rétt;160;Rétt;-999999;2;Já;STÆ203
Vanilla;15;Android;4;Með einkabíl;Rangt;Rangt;Skíðaferð til Selva í Ítalíu;3;Hunda;Bríet;Rétt;Rangt;10;Rétt;Rangt;;Anna Helga;1769;Í fjallgöngu;125;Rangt;1500000;Rangt;2;Villi;0;Rangt;170;Rétt;5;3;Já;STÆ203
Vanilla;30;Android;9;Með einkabíl;Rangt;Rangt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Aron Can;Rétt;Rangt;-10;Rétt;Rétt;450;Anna Helga;1700;Á kaffihús;200;Rétt;3000000;Rangt;3;Gói;25000;Rétt;150;Rétt;4;4;Nei;STÆ203
Súkkulaði;15;iOS;7;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;2;Hunda;Gugusar;Rétt;Rangt;9;Rangt;Rangt;1100;Anna Helga;1779;Á kaffihús;208;Rangt;1000000;Rangt;2;Sveppi;50000;Rétt;169;Rétt;4;3;Já;STÆ203
Súkkulaði;42;Android;4;Með einkabíl;Rangt;Rétt;Sólarferð á amerísku ströndina á Tenerife;5;Hunda;Aron Can;Rétt;Rangt;7;Rangt;Rangt;437;Anna Helga;1767;Á ísrúnt;257;Rétt;800000;Rétt;2;Sveppi;5966;Rangt;174;Rétt;0;4;Já;STÆ203
Súkkulaði;20;iOS;6,9;Með einkabíl;Rangt;Rétt;Skíðaferð til Selva í Ítalíu;2;Hunda;Aron Can;Rétt;Rangt;7,5;Rétt;Rétt;1490;Anna Helga;1739;Á ísrúnt;201;Rangt;821000;Rangt;3;Sveppi;20000;Rétt;169;Rangt;4,5;3,25;Já;STÆ203
Jarðaberja;7;Android;7;Gangandi / skokkandi;Rétt;Rétt;Skíðaferð til Selva í Ítalíu;3;Hunda;Gugusar;Rétt;Rangt;7;Rangt;Rangt;279;Anna Helga;1551;Á ísrúnt;124;Rétt;1100000;Rangt;1;Gói;18186;Rétt;179;Rétt;0;4;Já;STÆ203
